processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
GBAP11913-19,MH270272,9707289,,MH270272,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,903240,Amazophrynella sp. 3 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP19338-19,MN030262,10816452,CFBH:T13801,,"Mined from GenBank, NCBI",NA,BOLD:ACA4274,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,779987,Boana,962565,Boana prasina,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP20333-19,MK458583,10817447,UFMG<BRA>:7066,,"Mined from GenBank, NCBI",NA,BOLD:AEB3290,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,962570,Adenomera kweti,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP3948-13,JX298323,3635995,PEU80,,"Mined from GenBank, NCBI",NA,BOLD:ACH6721,18,Chordata,50,Amphibia,219,Anura,182238,Eleutherodactylidae,475396,Phyzelaphryninae,257836,Adelophryne,NA,,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Bahia,Wenceslau Guimares Ba,NA,,NA,,,NA,,NA,,,
GBAP3954-13,JX298317,3636001,CFBHT11100,,"Mined from GenBank, NCBI",NA,BOLD:ACA3433,18,Chordata,50,Amphibia,219,Anura,182238,Eleutherodactylidae,475396,Phyzelaphryninae,257836,Adelophryne,494850,Adelophryne baturitensis,NA,NA,,NA,"Hoogmoed, Borges and Cascon, 1994",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Ceara,Tiangua Ce,NA,,NA,,,NA,,NA,,,
GBAP5946-19,KF625058,9701322,,KF625058,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,216744,Craugastoridae,455885,Holoadeninae,519291,Euparkerella,903298,Euparkerella cochranae,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-22.5,-43,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP7023-19,KF621203,9702399,,KF621203,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,25169,Microhylidae,267101,Gastrophryninae,103298,Chiasmocleis,527541,Chiasmocleis albopunctata,NA,NA,,NA,"Boettger, 1885",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP7839-19,KF674673,9703215,,KF674673,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,474674,Adenomera hylaedactyla,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP8014-19,KF674552,9703390,,KF674552,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,518644,Adenomera andreae,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP8080-19,KF674653,9703456,,KF674653,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,474674,Adenomera hylaedactyla,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP8170-19,KF674732,9703546,,KF674732,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,903203,Adenomera sp. I,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP9297-19,KJ833419,9704673,,KJ833419,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,123207,Dendropsophus,682703,Dendropsophus aff. minutus,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP9922-19,KM024384,9705298,,KM024384,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,246620,Leptodactylus rhodomystax,NA,NA,,NA,"Boulenger, 1884",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-8.696,-61.405,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNB2302-20,MT036145,11547995,CFBHt14575,,"Mined from GenBank, NCBI",NA,BOLD:AED2150,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,608937,Adenomera marmorata,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-23.7352,-46.1803,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNB2335-20,MT036178,11548028,UFMG13290,,"Mined from GenBank, NCBI",NA,BOLD:AED1402,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,608937,Adenomera marmorata,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-22.4565,-44.5852,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC75308-20,MN953344,12486638,CFBH 18024,MN953344,"Mined from GenBank, NCBI",NA,BOLD:ACN4959,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751119,Lophyohylinae,257803,Phyllodytes,1005293,Phyllodytes kautskyi,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC75883-20,MN866494,12487213,DT3414,MN866494,"Mined from GenBank, NCBI",NA,BOLD:AEG8798,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,112082,Rhinella,759201,Rhinella magnussoni,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC75921-20,MN866456,12487251,DT3202,MN866456,"Mined from GenBank, NCBI",NA,BOLD:AEG9645,18,Chordata,50,Amphibia,219,Anura,216744,Craugastoridae,751116,Ceuthomantinae,112058,Pristimantis,NA,,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC75945-20,MN866421,12487275,DT3167,MN866421,"Mined from GenBank, NCBI",NA,BOLD:AEG5337,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,518644,Adenomera andreae,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC75960-20,MT956666,12487290,MCP_13884,MT956666,"Mined from GenBank, NCBI",NA,BOLD:AEG2527,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,NA,,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC76191-20,MT629774,12487521,INPA-H41311,MT629774,"Mined from GenBank, NCBI",NA,BOLD:AEG9819,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751119,Lophyohylinae,606943,Dryaderces,1005306,Dryaderces inframaculata,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-4.75,-56.6,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC76374-20,MT483191,12487704,FSFL1467,MT483191,"Mined from GenBank, NCBI",NA,BOLD:AEG3090,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,123207,Dendropsophus,527573,Dendropsophus haddadi,NA,NA,,NA,"Bastos and Pombal, 1996",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMNC76447-20,MT483106,12487777,PHV2588,MT483106,"Mined from GenBank, NCBI",NA,BOLD:ACF8515,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,123207,Dendropsophus,1005323,Dendropsophus araguaya,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND1051-21,MT496196,12719633,CH234,,"Mined from GenBank, NCBI",NA,BOLD:ABY6883,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,494871,Leptodactylus macrosternum,NA,NA,,NA,"Miranda-Ribeiro, 1926",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-21.6225,-57.7393,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND1135-21,MT495925,12719717,AAGARDA03110,,"Mined from GenBank, NCBI",NA,BOLD:ABY6883,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,494871,Leptodactylus macrosternum,NA,NA,,NA,"Miranda-Ribeiro, 1926",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-6.2524,-35.2213,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND1235-21,MT496097,12719817,CFBHT03283,,"Mined from GenBank, NCBI",NA,BOLD:ACA3748,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,NA,,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-28.5142,-49.4641,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND336-21,MT804870,12718918,CFBH36181,,"Mined from GenBank, NCBI",NA,BOLD:ACF9741,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,779987,Boana,996265,Boana polytaenia,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND342-21,MT804854,12718924,CFBH5752,,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,779987,Boana,996265,Boana polytaenia,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND402-21,MT804903,12718984,CFBH10856,,"Mined from GenBank, NCBI",NA,BOLD:ACN6630,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,779987,Boana,1058852,Boana sp. 3 ML-2020,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND489-21,MT583192,12719071,MAP_T1961,,"Mined from GenBank, NCBI",NA,BOLD:ACA3587,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,182216,Scinax,257809,Scinax fuscovarius,NA,NA,,NA,"Lutz, 1925",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND505-21,MT583158,12719087,MAP_T2363,,"Mined from GenBank, NCBI",NA,BOLD:ACE7167,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751119,Lophyohylinae,246602,Osteocephalus,388493,Osteocephalus taurinus,NA,NA,,NA,"Steindachner, 1862",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND599-21,MT162538,12719181,MZUSP140172,,"Mined from GenBank, NCBI",NA,BOLD:AEH5953,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,397552,Adenomera,NA,,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-5.37753,-50.367,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61281-21,MZ079505,13661518,AF82,MZ079505,"Mined from GenBank, NCBI",NA,BOLD:ACG2163,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,112082,Rhinella,112132,Rhinella granulosa,NA,NA,,NA,"Spix, 1824",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-10.7903,-42.8245,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61306-21,MZ079531,13661543,MRT116,MZ079531,"Mined from GenBank, NCBI",NA,BOLD:ACG2163,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,112082,Rhinella,112132,Rhinella granulosa,NA,NA,,NA,"Spix, 1824",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-4.22466,-38.9252,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61513-21,MW193634,13661750,UFMG11272,MW193634,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,257758,Bokermannohyla,527513,Bokermannohyla alvarengai,NA,NA,,NA,"Bokermann, 1956",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61527-21,MW193661,13661764,UFMG14951,MW193661,"Mined from GenBank, NCBI",NA,BOLD:ACF7662,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751120,Cophomantinae,257758,Bokermannohyla,527513,Bokermannohyla alvarengai,NA,NA,,NA,"Bokermann, 1956",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61645-21,MW284600,13661882,AAG-UFU2780,MW284600,"Mined from GenBank, NCBI",NA,BOLD:ADC0530,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,519344,Leptodactylus natalensis,NA,NA,,NA,"Lutz, 1930",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61702-21,MW284657,13661939,CFBH-28924,MW284657,"Mined from GenBank, NCBI",NA,BOLD:ACA3420,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,485537,Leptodactylus podicipinus,NA,NA,,NA,"Cope, 1862",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBMND61736-21,MZ079428,13661973,ESTR00217,MZ079428,"Mined from GenBank, NCBI",NA,BOLD:ACF9126,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,112064,Leptodactylinae,34389,Leptodactylus,534451,Leptodactylus troglodytes,NA,NA,,NA,"Lutz, 1926",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-7.33117,-47.4467,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
